categoria,domanda
attore_film,In quali film ha recitato Tom Hanks?
attore_film,In quali film ha recitato Leonardo DiCaprio?
attore_film,In quali film ha recitato Brad Pitt?
attore_film,In quali film ha recitato Meryl Streep?
attore_film,In quali film ha recitato Russell Crowe?
attore_film,In quali film ha recitato Samuel L. Jackson?
regista_film,Quali film ha diretto Christopher Nolan?
regista_film,Quali film ha diretto Ridley Scott?
regista_film,Quali film ha diretto Quentin Tarantino?
regista_film,Quali film ha diretto Martin Scorsese?
regista_film,Quali film ha diretto Wes Anderson?
collaborazione_attori,Ci sono film in cui hanno recitato insieme Leonardo DiCaprio e Kate Winslet?
collaborazione_attori,Ci sono film in cui hanno recitato insieme Robert De Niro e Al Pacino?
collaborazione_attori,Ci sono film in cui hanno recitato insieme Samuel L. Jackson e Bruce Willis?
collaborazione_attori,"Quali film hanno in comune Tom Hanks, Tim Allen e Don Rickles?"
collaboratori_regista,Chi sono gli attori che hanno collaborato più spesso con Christopher Nolan?
collaboratori_regista,Chi sono gli attori che hanno collaborato più spesso con Martin Scorsese?
collaboratori_regista,Chi sono gli attori che hanno collaborato più spesso con Tim Burton?
collaboratori_regista,Chi sono gli attori che hanno collaborato più spesso con Steven Spielberg?
collaboratori_regista,Chi sono gli attori che hanno collaborato più spesso con Ridley Scott?
conteggio_genere,Quanti film drammatici ha fatto Tom Hanks?
conteggio_genere,Quanti film d'azione ha fatto Arnold Schwarzenegger?
conteggio_genere,Quanti film commedia ha diretto Wes Anderson?
network_genere,Trova attori con esperienza nell'horror collegati alla rete di James Cameron.
network_genere,Trova attori con esperienza nella commedia collegati alla rete di Christopher Nolan.
semantica_trame,Trova film ambientati nello spazio con temi di sopravvivenza e isolamento estremo.
semantica_trame,"Trova film con un'atmosfera onirica, ambientati dentro ai sogni o realtà alternative, con struttura narrativa complessa a incastro."
semantica_trame,"Trova film che sembrano aver tratto ispirazione da Pulp Fiction, per struttura narrativa non lineare e humor nero."
semantica_trame,Trova film ambientati in un contesto di criminalità organizzata con un protagonista in ascesa e successiva caduta.
semantica_biografia,Raccontami la biografia di Sam Worthington.
semantica_biografia,Chi è e cosa ha fatto nella sua carriera Christopher Nolan?
semantica_biografia,Dammi qualche informazione biografica su Meryl Streep.
pitch_completo,"Genera un pitch creativo per un nuovo film fondendo le atmosfere di Interstellar e The Dark Knight, con un cast reale scelto tra i collaboratori abituali di Christopher Nolan, motivato dai dati delle loro collaborazioni passate."
pitch_completo,"Genera un pitch creativo per un nuovo film fondendo le atmosfere di Fight Club e Se7en, con un cast reale scelto tra i collaboratori abituali di David Fincher, motivato dai dati delle loro collaborazioni passate."
pitch_completo,"Genera un pitch creativo per un nuovo film fondendo le atmosfere di Edward Scissorhands e Beetlejuice, con un cast reale scelto tra i collaboratori abituali di Tim Burton, motivato dai dati delle loro collaborazioni passate."
pitch_completo,"Genera un pitch creativo per un nuovo film fondendo le atmosfere di Jurassic Park e Minority Report, con un cast reale scelto tra i collaboratori abituali di Steven Spielberg, motivato dai dati delle loro collaborazioni passate."
pitch_completo,"Genera un pitch creativo per un nuovo film fondendo le atmosfere di Gladiator e The Martian, con un cast reale scelto tra i collaboratori abituali di Ridley Scott, motivato dai dati delle loro collaborazioni passate."
pitch_completo,"Genera un pitch creativo per un nuovo film fondendo le atmosfere de Il Signore degli Anelli: La Compagnia dell'Anello e King Kong, con un cast reale scelto tra i collaboratori abituali di Peter Jackson, motivato dai dati delle loro collaborazioni passate."
attore_film,Puoi dirmi in quali pellicole ha lavorato come attrice Emma Stone?
attore_film,Qual è la filmografia completa di Denzel Washington?
attore_film,Elenco dei film con Johnny Depp nel cast per favore.
attore_film,In che produzioni cinematografiche compare Natalie Portman?
attore_film,Vorrei sapere a quali film ha preso parte Cate Blanchett.
attore_film,Javier Bardem ha recitato in quali lungometraggi?
attore_film,Angelina Jolie in quali film ha lavorato come attrice?
attore_film,Che film ha fatto finora Zoe Saldana?
attore_film,Mi serve l'elenco dei film in cui compare Matt Damon.
attore_film,George Clooney ha fatto parte del cast di quali film?
regista_film,Quali sono i film diretti da Guy Ritchie?
regista_film,David Fincher ha girato quali pellicole come regista?
regista_film,Elencami la filmografia da regista di Judd Apatow.
regista_film,Quali pellicole sono state dirette da Steven Spielberg?
regista_film,Di quali produzioni è stato regista Peter Jackson?
regista_film,Tim Burton ha diretto quali film?
regista_film,Mi servono i titoli dei film girati da James Cameron come regista.
regista_film,Quali lungometraggi porta la firma registica di Ridley Scott?
regista_film,Elenca le pellicole dirette da Martin Scorsese.
