nome,tmdb_id,biografia,data_nascita,luogo_nascita
James Cameron,2710,"James Francis Cameron (born August 16, 1954) is a Canadian filmmaker. He is a major figure in the post-New Hollywood era and often uses novel technologies with a classical filmmaking style. Cameron first gained recognition for writing and directing The Terminator (1984), and found further success with Aliens (1986), The Abyss (1989), Terminator 2: Judgment Day (1991), and True Lies (1994), as well as Avatar (2009) and its sequels. He directed, wrote, co-produced, and co-edited Titanic (1997), winning Academy Awards for Best Picture, Best Director, and Best Film Editing. He is a recipient of various other industry accolades, and three of his films have been selected for preservation in the National Film Registry by the Library of Congress.

Cameron co-founded the production companies Lightstorm Entertainment, Digital Domain, and Earthship Productions. In addition to filmmaking, he is a National Geographic explorer-in-residence. He has produced many documentaries on deep-ocean exploration, including Ghosts of the Abyss (2003) and Aliens of the Deep (2005). Cameron has also contributed to underwater filming and remote vehicle technologies and helped create the digital 3D Fusion Camera System. In 2012, Cameron became the first person to solo descend the Mariana Trench, the deepest part of the Earth's ocean, in the Deepsea Challenger submersible.

Cameron's films have grossed over $8 billion worldwide, making him the second-highest-grossing film director. Three of Cameron's films are among the top four highest-grossing films of all time; Avatar (2009), Avatar: The Way of Water (2022) and Titanic (1997) are the highest, third-highest and fourth-highest-grossing films of all time, respectively. Cameron directed the first film to gross over $1 billion, the first two films to gross over $2 billion, and is the only director to have had three films grossing over $2 billion. In 2010, Time named Cameron one of the 100 most influential people in the world. Cameron is also an environmentalist and runs several sustainability businesses.

Description above from the Wikipedia article James Cameron, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1954-08-16,"Kapuskasing, Ontario, Canada"
Gore Verbinski,1704,"Gregor Justin ""Gore"" Verbinski (born March 16, 1964) is an American film director, screenwriter, and producer. He is best known for directing Mouse Hunt, The Ring, the first three Pirates of the Caribbean films, and Rango. For Rango, Verbinski won both the Academy Award and BAFTA Award for Best Animated Film.",1964-03-16,"Oak Ridge, Tennessee, USA"
Sam Mendes,39,"Sir Samuel Alexander Mendes CBE (born 1 August 1965) is a British film and stage director, producer, and screenwriter. In 2000, Mendes was appointed a CBE for his services to drama, and he was knighted in the 2020 New Year Honours List. In 2000, Mendes was awarded the Shakespeare Prize by the Alfred Toepfer Foundation in Hamburg, Germany. In 2005, he received a lifetime achievement award from the Directors Guild of Great Britain. In 2008, The Daily Telegraph ranked him number 15 in their list of the ""100 most powerful people in British culture"".

Born in Berkshire to a Trinidadian Catholic father and an English Jewish mother, Mendes grew up in North London. He read English at Peterhouse at Cambridge University. He began directing plays there before joining Donmar Warehouse, a centre of 1990s London theatre culture. In theatre, he is known for his dark re-inventions of the stage musicals Cabaret (1993), Oliver! (1994), Company (1995), and Gypsy (2003).

For the first time, he directed an original West End stage musical with Charlie and the Chocolate Factory (2013). For his work on the London stage, Mendes has received three Laurence Olivier Awards for Company, Twelfth Night, and The Ferryman. On Broadway, he earned two Tony Awards for Best Direction of a Play for  The Ferryman in 2019 and The Lehman Trilogy in 2022.

In film, he made his directorial debut with the drama American Beauty (1999), which earned him the Academy Award and Golden Globe Award for Best Director. He has since directed the films Road to Perdition (2002), Jarhead (2005), Revolutionary Road (2008), and the James Bond films Skyfall (2012) and Spectre (2015). For the war film 1917 (2019), he received the BAFTA Award and Golden Globe Award for Best Director, as well as his second Academy Award nomination for Best Director, Best Picture and Best Original Screenplay.

Description above from the Wikipedia article Sam Mendes, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1965-08-01,"Reading, Berkshire, England, UK"
Christopher Nolan,525,"Sir Christopher Edward Nolan (born 30 July 1970) is a British and American filmmaker. As a significant auteur of his generation, he has established himself as a major figure of 21st-century Hollywood. His films have earned over $6 billion worldwide, making him the seventh highest-grossing film director of all time. Nolan's accolades include two Academy Awards, a Golden Globe Award and two British Academy Film Awards. He was appointed as a CBE in 2019 and was knighted in 2024 for his contributions to film.

Nolan developed an interest in filmmaking from a young age. After studying English literature at University College London, he made several short films including Tarantella (1989), Larceny (1996) and Doodlebug (1997) before his feature film debut with Following (1998). Nolan gained international recognition with his second film, Memento (2000), and transitioned into studio filmmaking with Insomnia (2002). He became a high-profile director with The Dark Knight trilogy (2005–2012). He found further success with The Prestige (2006), Inception (2010), Interstellar (2014) and Dunkirk (2017). After the release of Tenet (2020), Nolan parted ways with longtime distributor Warner Bros. Pictures. He signed with Universal Pictures for Oppenheimer (2023), which won him Academy Awards for Best Director and Best Picture.

Three of Nolan's films have been inducted into the National Film Registry. Infused with a metaphysical outlook, his works thematise epistemology, existentialism, ethics, the construction of time and the malleable nature of memory and personal identity. They feature mathematically inspired images and concepts, unconventional narrative structures, practical special effects, experimental soundscapes, large-format film photography and materialistic perspectives. His enthusiasm for the use and preservation of traditional film stock has also garnered significant attention. He has co-written several of his films with his brother, Jonathan. He runs the production company Syncopy Inc. with his wife, Emma Thomas.

Description above from the Wikipedia article Christopher Nolan, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1970-07-30,"Westminster, London, England, UK"
Andrew Stanton,7,"Andrew Ayers Stanton (born December 3, 1965) is an American filmmaker, animator, and voice actor. He is best known as the director and co-writer of the Pixar animated films Finding Nemo (2003), WALL-E (2008), Finding Dory (2016), and Toy Story 5 (2026). He also directed and co-wrote the live-action film John Carter (2012) for Walt Disney Pictures and directed the live-action film In the Blink of an Eye (2026) for Searchlight Pictures. For Pixar, Stanton was additionally the co-director and co-writer of A Bug's Life (1998), the co-writer of the first four Toy Story films (1995–2019) and Monsters, Inc. (2001), and occasional voice actor for various films, most notably Crush the Turtle from Finding Nemo.

Finding Nemo and WALL-E earned Stanton two Academy Awards for Best Animated Feature. He was also nominated for three Academy Awards for Best Original Screenplay, for Finding Nemo, WALL-E, and Toy Story (1995), and for an Academy Award for Best Adapted Screenplay for Toy Story 3 (2010). WALL-E has also been inducted into the National Film Registry. Stanton has also directed episodes of various television series since 2017, including episodes of 3 Body Problem, Better Call Saul, Legion and Stranger Things.

Description above from the Wikipedia article Andrew Stanton, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1965-12-03,"Boston, Massachusetts, USA"
Sam Raimi,7623,"Samuel Marshall Raimi (/ˈreɪmi/ RAY-mee; born October 23, 1959) is an American filmmaker. He is best known for writing and directing the Evil Dead trilogy (1981–1992) and directing the Spider-Man trilogy (2002–2007). He also directed Darkman (1990), The Quick and the Dead (1995), A Simple Plan (1998), The Gift (2000), Drag Me to Hell (2009), Oz the Great and Powerful (2013), and Doctor Strange in the Multiverse of Madness (2022).

His films are known for their highly dynamic visual style, inspired by comic books and slapstick comedy. He founded the production companies Renaissance Pictures in 1979 and Ghost House Pictures in 2002. Raimi has also produced several successful television series, including Hercules: The Legendary Journeys (1995–1997), its spin-off Xena: Warrior Princess (1995–2001), and Ash vs Evil Dead (2015–2018) starring longtime friend and collaborator Bruce Campbell, reprising his role in the Evil Dead franchise.

Description above from the Wikipedia article Sam Raimi, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1959-10-23,"Royal Oak, Michigan, USA"
Byron Howard,76595,"Byron P. Howard (born December 26, 1968) is an American animator, character designer, story artist, film director, producer, and screenwriter. He is best known as one of the directors of the Walt Disney Animation Studios films Bolt (2008), Tangled (2010), Zootopia (2016), Encanto (2021), and Zootopia 2 (2025). He is the first LGBT director to win the Oscar for Best Animated Feature twice for his work on Zootopia and Encanto.

Description above from the Wikipedia article Byron Howard, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1968-12-26,"Misawa, Japan"
Joss Whedon,12891,"Joseph Hill ""Joss"" Whedon (/ˈwiːdən/ WEE-dən; born June 23, 1964) is an American screenwriter, director, producer, comic book writer, and composer. He is best known as the creator of several television series: the supernatural drama Buffy the Vampire Slayer (1997–2003) and its spinoff Angel (1999–2004), the short-lived space Western Firefly (2002), the Internet musical miniseries Dr. Horrible's Sing-Along Blog (2008), the science fiction drama Dollhouse (2009–2010), the Marvel Cinematic Universe film The Avengers (2012) and series Agents of S.H.I.E.L.D. (2013–2020), and the science fiction drama The Nevers (2021).

After beginning his career in sitcoms, Whedon wrote the poorly received horror comedy film Buffy the Vampire Slayer (1992)—which he later adapted into the acclaimed television series of the same name—co-wrote the Pixar animated film Toy Story (1995), and wrote the science fiction horror film Alien Resurrection (1997). After achieving success as a television showrunner, Whedon returned to film to write and direct the Firefly film continuation Serenity (2005), co-write and produce the horror comedy film The Cabin in the Woods (2012), and write and direct the Shakespeare adaptation Much Ado About Nothing (2012). For the Marvel Cinematic Universe, Whedon wrote and directed the ensemble superhero film The Avengers (2012) and its sequel Avengers: Age of Ultron (2015). He also co-wrote the DC Extended Universe superhero film Justice League (2017), for which he also served as director for reshoots, replacing Zack Snyder (who retained directorial credit).

Whedon has also worked as a composer (notably for the Buffy the Vampire Slayer musical episode ""Once More, with Feeling"" and Dr. Horrible's Sing-Along Blog) and comic book writer, both for comic book continuations of television series he created and for established franchises, such as Astonishing X-Men.

Beginning in July 2020, multiple actors, producers, and writers spoke out against Whedon following the toxic workplace environment he had allegedly created in many of his projects. Whedon has denied any wrongdoing, while acknowledging that he can be ""confrontational.""

Description above from the Wikipedia article Joss Whedon, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1964-06-23,"New York City, New York, USA"
David Yates,11343,"David Yates (born 8 October 1963) is an English filmmaker who has directed feature films, short films, and television productions. He is best known for directing the final four films in the Harry Potter series and the three films of its prequel series, Fantastic Beasts. His work on the Harry Potter series brought him critical and commercial success, along with accolades such as the British Academy Britannia Award for Excellence in Directing.

Yates directed various short films and became a television director early in his career. His credits include the six-part political thriller State of Play (2003), for which he won the Directors Guild of Great Britain Award for Outstanding Directorial Achievement, the adult two-part documentary drama Sex Traffic (2004) and the Emmy Award-winning television film The Girl in the Café (2005).

Yates is a founding member of Directors UK and has had a close partnership with Warner Bros. as a director and producer. Around 2022, he began working through his own production company, Wychwood Media.

Description above from the Wikipedia article David Yates, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1963-10-08,"St. Helens, Merseyside, England, UK"
Zack Snyder,15217,"Zachary Edward Snyder (born March 1, 1966) is an American filmmaker, screenwriter, producer, and cinematographer whose distinctive visual style has made him one of the most influential blockbuster directors of the 21st century. Renowned for his operatic storytelling, striking cinematography, and groundbreaking action sequences, Snyder has helped redefine the modern comic book epic and established one of the most recognizable cinematic signatures in contemporary Hollywood.

After beginning his career directing commercials and music videos, Snyder made his feature film debut with the acclaimed horror remake Dawn of the Dead (2004), before achieving worldwide success with 300 (2006), whose revolutionary visual style transformed the look of modern action cinema. He followed with Watchmen (2009), Legend of the Guardians: The Owls of Ga'Hoole (2010), and the original fantasy film Sucker Punch (2011), further cementing his reputation as one of Hollywood's most visually ambitious filmmakers.

Snyder gained global recognition for launching the DC Extended Universe with Man of Steel (2013), followed by Batman v Superman: Dawn of Justice (2016) and Justice League (2017). His original vision was ultimately realized in Zack Snyder's Justice League (2021), a landmark director's cut whose release followed an unprecedented worldwide fan movement, becoming one of the most significant examples of audience-driven support in film history.

Beyond superhero films, Snyder has expanded his creative portfolio with Netflix productions including Army of the Dead (2021), for which he also served as cinematographer, and the epic science-fiction saga Rebel Moon (2023–2024). Alongside his wife Deborah Snyder and producing partner Wesley Coller, he co-founded The Stone Quarry, producing many of his own projects while maintaining a first-look partnership with Netflix.

Widely recognized for his innovative visual language, Snyder's influence extends across modern blockbuster filmmaking. His use of stylized slow motion, mythic storytelling, and richly composed imagery has inspired filmmakers around the world. Directors such as James Cameron and Christopher Nolan have praised his work, crediting him with helping shape the visual evolution of contemporary action, science fiction, and superhero cinema. His films have cultivated a passionate global following and continue to leave a lasting impact on popular culture.",1966-03-01,"Green Bay, Wisconsin, USA"
